Dusk or Dawn,Heads or Tails,House
1,0,Gryffindor
1,0,Gryffindor
1,1,Hufflepuff
1,1,Hufflepuff
1,0,Gryffindor
0,1,Slytherin
0,1,Slytherin
1,0,Gryffindor
0,1,Slytherin
1,0,Gryffindor
0,1,Slytherin
1,0,Gryffindor
0,0,Ravenclaw
1,0,Gryffindor
1,0,Gryffindor
0,1,Slytherin
1,0,Gryffindor
0,1,Slytherin
0,0,Ravenclaw
1,1,Hufflepuff
1,0,Gryffindor
0,1,Slytherin
1,0,Gryffindor
1,0,Gryffindor
1,0,Gryffindor
0,1,Slytherin
0,1,Slytherin
1,0,Gryffindor
1,0,Gryffindor
1,1,Hufflepuff
1,0,Gryffindor
0,0,Ravenclaw
0,1,Slytherin
0,1,Slytherin
1,0,Gryffindor
1,0,Gryffindor
1,1,Hufflepuff
1,1,Hufflepuff
0,1,Slytherin
0,1,Slytherin
1,0,Gryffindor
1,0,Gryffindor
1,0,Gryffindor
0,0,Ravenclaw
1,0,Gryffindor
1,1,Hufflepuff
1,0,Gryffindor
0,1,Slytherin
0,0,Ravenclaw
1,0,Gryffindor
0,1,Slytherin
1,0,Gryffindor
1,1,Hufflepuff
0,1,Slytherin
0,1,Slytherin
1,1,Hufflepuff
0,1,Slytherin
1,0,Gryffindor
0,0,Ravenclaw
0,0,Ravenclaw
0,0,Ravenclaw
1,1,Hufflepuff
0,0,Ravenclaw
1,0,Gryffindor
1,0,Gryffindor
1,1,Hufflepuff
0,0,Ravenclaw
1,1,Hufflepuff
1,0,Gryffindor
1,0,Gryffindor
1,1,Hufflepuff
0,0,Ravenclaw
0,0,Ravenclaw
0,1,Slytherin
0,0,Ravenclaw
0,0,Ravenclaw
1,0,Gryffindor
0,1,Slytherin
1,1,Hufflepuff
0,0,Ravenclaw
0,0,Ravenclaw
0,0,Ravenclaw
1,0,Gryffindor
0,0,Ravenclaw
0,0,Ravenclaw
0,1,Slytherin
0,0,Ravenclaw
0,0,Ravenclaw
1,1,Hufflepuff
0,1,Slytherin
1,1,Hufflepuff
0,1,Slytherin
0,0,Ravenclaw
1,0,Gryffindor
0,1,Slytherin
0,1,Slytherin
1,0,Gryffindor
0,1,Slytherin
1,1,Hufflepuff
1,1,Hufflepuff
1,0,Gryffindor
0,1,Slytherin
1,0,Gryffindor
0,0,Ravenclaw
0,1,Slytherin
0,0,Ravenclaw
1,1,Hufflepuff
0,1,Slytherin
1,0,Gryffindor
0,1,Slytherin
1,0,Gryffindor
0,0,Ravenclaw
1,1,Hufflepuff
0,0,Ravenclaw
0,0,Ravenclaw
0,1,Slytherin
1,1,Hufflepuff
1,1,Hufflepuff
0,0,Ravenclaw
1,1,Hufflepuff
1,0,Gryffindor
1,1,Hufflepuff
0,0,Ravenclaw
0,1,Slytherin
1,1,Hufflepuff
1,0,Gryffindor
0,1,Slytherin
1,1,Hufflepuff
1,1,Hufflepuff
0,0,Ravenclaw
0,0,Ravenclaw
1,1,Hufflepuff
0,1,Slytherin
0,0,Ravenclaw
0,0,Ravenclaw
0,1,Slytherin
1,1,Hufflepuff
0,1,Slytherin
0,0,Ravenclaw
1,0,Gryffindor
0,0,Ravenclaw
